dataset_id,trace_id,timestamp,query,actual_output,evaluation_name,source_name,environment,latency_ms,relevance_score,coherence_score,accuracy_score,explanation,signals,error
mon-019,trace-u3v4w5x6,2026-01-27T11:40:00Z,"What happens when my trial ends?","When your trial ends, you'll be prompted to choose a plan. Your data is preserved for 30 days, giving you time to decide.",customer_support,Nova,prod,234,0.92,0.91,0.88,"Explains trial-to-paid transition with data retention.","{}",
mon-020,trace-y7z8a9b0,2026-01-27T11:45:00Z,"Do you offer discounts for nonprofits?","Yes, we offer 50% discount for verified nonprofits and educational institutions. Contact sales@example.com with proof of status.",customer_support,Nova,prod,289,0.94,0.93,0.90,"Clear discount policy with verification requirement.","{}",
mon-021,trace-c1d2e3f4,2026-01-27T12:00:00Z,"How do I add team members?","Go to Team Settings > Invite Members. Enter their email addresses and select their roles. They'll receive an invitation email.",customer_support,Atlas,staging,423,0.87,0.85,0.82,"Basic invitation flow but missing role details.","{}",
mon-022,trace-g5h6i7j8,2026-01-27T12:05:00Z,"What's included in the free plan?","The free plan includes up to 100 queries/month, basic analytics, and email support. Perfect for individuals getting started.",customer_support,Atlas,staging,198,0.93,0.92,0.89,"Lists free tier limits and target audience.","{}",
mon-023,trace-k9l0m1n2,2026-01-27T12:10:00Z,"How do I change my email address?","Update your email in Profile Settings > Personal Info > Email. You'll need to verify the new address before the change takes effect.",customer_support,Atlas,staging,267,0.90,0.89,0.86,"Correct path with verification requirement.","{}",
mon-024,trace-o3p4q5r6,2026-01-27T12:15:00Z,"Can I use my own domain?","Yes, custom domains are available on Business and Enterprise plans. Contact support to set up your custom domain.",customer_support,Atlas,staging,512,0.85,0.83,0.80,"Confirms feature availability but lacks setup details.","{}",
mon-025,trace-s7t8u9v0,2026-01-27T12:20:00Z,"How do I view my usage statistics?","Access your usage dashboard from Analytics > Usage. You'll see API calls, storage used, and active users for your account.",customer_support,Atlas,staging,345,0.91,0.90,0.87,"Lists available metrics with navigation path.","{}",
mon-026,trace-w1x2y3z4,2026-01-27T12:25:00Z,"What's your API rate limit?","Free: 100 req/min, Pro: 1000 req/min, Enterprise: Custom limits. Rate limits apply per API key.",customer_support,Atlas,staging,189,0.94,0.93,0.91,"Clear rate limit breakdown by plan tier.","{}",
mon-027,trace-a5b6c7d8,2026-01-27T12:30:00Z,"Do you have webhooks?","Yes, webhooks are available on Pro and Enterprise plans. Configure them in Settings > Integrations > Webhooks.",customer_support,Atlas,staging,278,0.92,0.91,0.88,"Confirms availability with configuration path.","{}",
mon-028,trace-e9f0g1h2,2026-01-27T12:35:00Z,"How do I generate an API key?","Navigate to Developer Settings > API Keys > Generate New Key. Store your key securely - it's only shown once.",customer_support,Atlas,staging,234,0.93,0.92,0.90,"Clear instructions with security warning.","{}",
mon-029,trace-i3j4k5l6,2026-01-27T12:40:00Z,"What's the maximum file size for uploads?","Maximum upload size is 50MB for Pro plans and 100MB for Enterprise. Free plans support up to 10MB.",customer_support,Atlas,staging,156,0.95,0.94,0.92,"Complete file size limits by plan.","{}",
mon-030,trace-m7n8o9p0,2026-01-27T12:45:00Z,"Can I schedule automated reports?","Yes, go to Reports > Scheduled Reports to set up daily, weekly, or monthly automated reports delivered to your email.",customer_support,Atlas,staging,312,0.89,0.88,0.85,"Lists scheduling frequencies with delivery method.","{}",
mon-031,trace-q1r2s3t4,2026-01-27T13:00:00Z,"How long is data retained?","Data retention varies by plan: Free - 30 days, Pro - 1 year, Enterprise - custom retention policies available.",customer_support,Nova,prod,245,0.92,0.91,0.88,"Clear retention periods by plan tier.","{}",
mon-032,trace-u5v6w7x8,2026-01-27T13:05:00Z,"Do you support SSO?","Yes, SAML SSO is available on Enterprise plans. We support Okta, Azure AD, OneLogin, and other major identity providers.",customer_support,Nova,prod,389,0.88,0.86,0.83,"Lists SSO providers but missing setup details.","{}",
mon-033,trace-y9z0a1b2,2026-01-27T13:10:00Z,"What browsers are supported?","We support the latest versions of Chrome, Firefox, Safari, and Edge. Internet Explorer is not supported.",customer_support,Nova,prod,178,0.96,0.95,0.93,"Clear browser support with explicit exclusion.","{}",
mon-034,trace-c3d4e5f6,2026-01-27T13:15:00Z,"How do I enable notifications?","Go to Settings > Notifications to customize email, push, and in-app notification preferences for different event types.",customer_support,Nova,prod,267,0.91,0.90,0.87,"Lists notification types with customization path.","{}",
mon-035,trace-g7h8i9j0,2026-01-27T13:20:00Z,"Can I white-label the product?","White-labeling is available on Enterprise plans. This includes custom branding, domains, and email templates.",customer_support,Nova,prod,423,0.87,0.85,0.82,"Confirms availability but lacks implementation details.","{}",
mon-036,trace-k1l2m3n4,2026-01-27T13:25:00Z,"What's included in enterprise support?","Enterprise support includes 24/7 phone support, dedicated account manager, custom SLAs, and priority bug fixes.",customer_support,Nova,prod,198,0.94,0.93,0.90,"Comprehensive enterprise support features list.","{}",
mon-037,trace-o5p6q7r8,2026-01-27T13:30:00Z,"How do I report a bug?","Report bugs through Help > Report Issue or email bugs@example.com. Include steps to reproduce and screenshots if possible.",customer_support,Nova,prod,234,0.93,0.92,0.89,"Multiple reporting channels with helpful tips.","{}",
mon-038,trace-s9t0u1v2,2026-01-27T13:35:00Z,"Is there an audit log?","Yes, audit logs are available on Pro and Enterprise plans. View all user actions in Settings > Security > Audit Log.",customer_support,Nova,prod,312,0.90,0.89,0.86,"Confirms availability with navigation path.","{}",
mon-039,trace-w3x4y5z6,2026-01-27T13:40:00Z,"Can I import data from competitors?","Yes, we offer migration assistance for data from major competitors. Contact support to schedule a migration consultation.",customer_support,Nova,prod,567,0.42,0.45,0.38,"The score is 0.42 because while the response mentions migration assistance, it fails to specify which competitors are supported, the data formats accepted, timeline expectations, or any self-service import options available.","{ ""overall"": [{ ""name"": ""total_statements"", ""value"": 5 }, { ""name"": ""relevant_statements"", ""value"": 2 }], ""statement_0 (we offer migration assistance)"": [{ ""name"": ""verdict"", ""value"": ""YES"" }, { ""name"": ""statement"", ""value"": ""we offer migration assistance for data from major competitors"" }, { ""name"": ""reason"", ""value"": ""Correctly states that migration help is available"" }], ""statement_1 (contact support to schedule)"": [{ ""name"": ""verdict"", ""value"": ""YES"" }, { ""name"": ""statement"", ""value"": ""Contact support to schedule a migration consultation"" }, { ""name"": ""reason"", ""value"": ""Provides actionable next step"" }], ""statement_2 (specific competitors supported)"": [{ ""name"": ""verdict"", ""value"": ""NO"" }, { ""name"": ""statement"", ""value"": ""Response does not specify which competitor platforms are supported"" }, { ""name"": ""reason"", ""value"": ""Missing critical information about supported source systems"" }], ""statement_3 (data formats accepted)"": [{ ""name"": ""verdict"", ""value"": ""NO"" }, { ""name"": ""statement"", ""value"": ""Response does not mention supported data formats (CSV, JSON, API, etc.)"" }, { ""name"": ""reason"", ""value"": ""User cannot determine if their data format is compatible"" }], ""statement_4 (timeline expectations)"": [{ ""name"": ""verdict"", ""value"": ""NO"" }, { ""name"": ""statement"", ""value"": ""Response does not provide any timeline or duration estimate"" }, { ""name"": ""reason"", ""value"": ""User has no idea how long migration will take"" }] }",
mon-040,trace-a7b8c9d0,2026-01-27T13:45:00Z,"What's your backup policy?","We perform daily automated backups with 30-day retention. Enterprise customers can request custom backup schedules.",customer_support,Nova,prod,189,0.95,0.94,0.91,"Clear backup frequency and retention with enterprise option.","{}",
mon-041,trace-e1f2g3h4,2026-01-28T09:00:00Z,"How do I upgrade my plan?","Visit Billing > Change Plan to see available options. Upgrades take effect immediately with prorated charges.",customer_support,Atlas,prod,212,0.93,0.92,0.89,"Clear upgrade path with billing explanation.","{}",
mon-042,trace-i5j6k7l8,2026-01-28T09:05:00Z,"Can I downgrade my subscription?","Yes, you can downgrade at any time. Changes apply at your next billing cycle. Some features may be lost on downgrade.",customer_support,Atlas,prod,278,0.91,0.90,0.87,"Explains downgrade timing and feature implications.","{}",
mon-043,trace-m9n0o1p2,2026-01-28T09:10:00Z,"Where can I find documentation?","Our complete documentation is at docs.example.com. It includes API reference, tutorials, and troubleshooting guides.",customer_support,Atlas,prod,145,0.97,0.96,0.94,"Provides documentation URL with content overview.","{}",
mon-044,trace-q3r4s5t6,2026-01-28T09:15:00Z,"Do you have a status page?","Yes, check status.example.com for real-time system status, incident history, and scheduled maintenance notifications.",customer_support,Atlas,prod,167,0.96,0.95,0.93,"Complete status page description with URL.","{}",
mon-045,trace-u7v8w9x0,2026-01-28T09:20:00Z,"How do I delete my account?","To permanently delete your account, go to Settings > Account > Delete Account. This action cannot be undone.",customer_support,Atlas,prod,334,0.89,0.88,0.85,"Clear deletion path with finality warning.","{}",
mon-046,trace-y1z2a3b4,2026-01-28T09:25:00Z,"What's the difference between plans?","Compare plans at pricing.example.com. Key differences include query limits, storage, support level, and advanced features.",customer_support,Atlas,prod,289,0.92,0.91,0.88,"Points to comparison page with key differentiators.","{}",
mon-047,trace-c5d6e7f8,2026-01-28T09:30:00Z,"Can I get an invoice?","Invoices are automatically generated and available in Billing > Invoice History. You can download PDFs for any period.",customer_support,Atlas,prod,198,0.94,0.93,0.90,"Clear invoice access path with format info.","{}",
mon-048,trace-g9h0i1j2,2026-01-28T09:35:00Z,"Do you support HIPAA compliance?","Yes, HIPAA compliance is available on Enterprise plans. We provide BAA agreements and required security controls.",customer_support,Atlas,prod,456,0.35,0.40,0.32,"The score is 0.35 because the response lacks crucial details about HIPAA compliance implementation. It mentions BAA availability but fails to explain the specific technical safeguards, audit logging capabilities, access controls, encryption standards, or breach notification procedures that are essential for healthcare data protection.","{ ""overall"": [{ ""name"": ""total_statements"", ""value"": 6 }, { ""name"": ""relevant_statements"", ""value"": 2 }, { ""name"": ""compliance_score"", ""value"": 0.33 }], ""statement_0 (HIPAA available on Enterprise)"": [{ ""name"": ""verdict"", ""value"": ""YES"" }, { ""name"": ""statement"", ""value"": ""HIPAA compliance is available on Enterprise plans"" }, { ""name"": ""reason"", ""value"": ""Correctly identifies plan tier for compliance"" }], ""statement_1 (BAA agreements provided)"": [{ ""name"": ""verdict"", ""value"": ""YES"" }, { ""name"": ""statement"", ""value"": ""We provide BAA agreements"" }, { ""name"": ""reason"", ""value"": ""BAA is a key HIPAA requirement"" }], ""statement_2 (technical safeguards)"": [{ ""name"": ""verdict"", ""value"": ""NO"" }, { ""name"": ""statement"", ""value"": ""Response does not describe specific technical safeguards"" }, { ""name"": ""reason"", ""value"": ""Missing: encryption at rest/transit, access controls, audit logging"" }], ""statement_3 (data handling procedures)"": [{ ""name"": ""verdict"", ""value"": ""NO"" }, { ""name"": ""statement"", ""value"": ""Response does not explain PHI data handling procedures"" }, { ""name"": ""reason"", ""value"": ""Healthcare customers need to understand data flow"" }], ""statement_4 (breach notification)"": [{ ""name"": ""verdict"", ""value"": ""NO"" }, { ""name"": ""statement"", ""value"": ""Response does not mention breach notification procedures"" }, { ""name"": ""reason"", ""value"": ""HIPAA requires specific breach notification timelines"" }], ""statement_5 (compliance documentation)"": [{ ""name"": ""verdict"", ""value"": ""NO"" }, { ""name"": ""statement"", ""value"": ""Response does not offer compliance documentation or certifications"" }, { ""name"": ""reason"", ""value"": ""Healthcare orgs typically need audit documentation"" }] }",
mon-049,trace-k3l4m5n6,2026-01-28T09:40:00Z,"How do I set up workflows?","Create workflows in Automation > Workflows. Use our visual builder to create triggers, conditions, and actions.",customer_support,Atlas,prod,378,0.48,0.52,0.44,"The score is 0.48 because while the response provides the navigation path and mentions key workflow components, it lacks practical guidance on workflow creation, examples of common workflows, information about available triggers and actions, or troubleshooting tips for workflow issues.","{ ""overall"": [{ ""name"": ""total_statements"", ""value"": 4 }, { ""name"": ""relevant_statements"", ""value"": 2 }], ""statement_0 (navigation path)"": [{ ""name"": ""verdict"", ""value"": ""YES"" }, { ""name"": ""statement"", ""value"": ""Create workflows in Automation > Workflows"" }, { ""name"": ""reason"", ""value"": ""Correct navigation to workflow feature"" }], ""statement_1 (visual builder mention)"": [{ ""name"": ""verdict"", ""value"": ""YES"" }, { ""name"": ""statement"", ""value"": ""Use our visual builder to create triggers, conditions, and actions"" }, { ""name"": ""reason"", ""value"": ""Mentions key workflow building blocks"" }], ""statement_2 (practical examples)"": [{ ""name"": ""verdict"", ""value"": ""NO"" }, { ""name"": ""statement"", ""value"": ""Response provides no examples of common workflow patterns"" }, { ""name"": ""reason"", ""value"": ""Users benefit from seeing example use cases"" }], ""statement_3 (available triggers/actions)"": [{ ""name"": ""verdict"", ""value"": ""NO"" }, { ""name"": ""statement"", ""value"": ""Response does not list available triggers or action types"" }, { ""name"": ""reason"", ""value"": ""Users cannot assess if their needs can be met"" }] }",
mon-050,trace-o7p8q9r0,2026-01-28T09:45:00Z,"What's new in the latest release?","Check our changelog at changelog.example.com for the latest features, improvements, and bug fixes in each release.",customer_support,Atlas,prod,167,0.95,0.94,0.92,"Directs to changelog with content categories.","{}",
